ID,First name,Middle name,Last name,Phone,Professional titles,Address,E-mail,Websites,Body,Site,Terms,UID
person1,John,Fitzgerald,Kennedy,555-1245,Drupal developer at Gizra.inc;QA person at Gizra.inc,"Israel, tel-aviv",roy.segall@gizra.com,Gizra inc.|http://www.gizra.com;Google|http://google.com,"often referred to by his initials JFK, was the 35th President of the United States, serving from 1961 until his assassination in 1963.",personal1,ScienceTerm1|ScienceTerm2|ScienceTerm3,user2
person2,Henry,Lou,Gehrig,555-1246,"Won with the ""Yankiz"" 6 times in a row;1936 American League MVP","Manhattan, East Harlem",lou@gmail.com,,,project1,,user2
person3,Hillary,Diane Rodham,Clinton,555-4216,67th United States Secretary of State,White house,hillary@whitehouse.gove,Official website|http://www.state.gov/secretary/index.htm,,personal2,,user2
person4,Michelle,LaVaughn Robinson,Obama,555-4217,"The 44th ""firse wife"" of the united states",White house,michelle@whitehouse.gov,,,personal2,,user2
person5,Norma,Jeane,Mortenson,555-1245,Actress,,,Wikipedia page|http://en.wikipedia.org/wiki/Marilyn_Monroe,AKA Marilyn Monroe,personal1,ScienceTerm2,user2
person6,Manfred,,Jeitler,,,,,,,,project2,appointedTerm11|countryTerm1|expiryTerm3,user2
person7,Michaël,,Tytgat,,,,,,,,project2,appointedTerm14|countryTerm2|expiryTerm3,user2
person8,Stefan,,Piperov,,,,,,,,project2,appointedTerm12|countryTerm3|expiryTerm1,user2
person9,Stanislav,,Nemecek,,,,,,,,project2,appointedTerm10|countryTerm4|expiryTerm3,user2
person10,Jorgen,,Beck Hansen,,,,,,,,project2,appointedTerm4|countryTerm5|expiryTerm3,user2
person11,Kati,,Lassila-Perini,,,,,,,,project2,appointedTerm4|countryTerm6|expiryTerm3,user2
person12,Alexandre,,Rozanov,,,,,,,,project2,appointedTerm7|countryTerm7|expiryTerm2,user2
person13,Federico,,Ferri,,,,,,,,project2,appointedTerm12|countryTerm7|expiryTerm3,user2
person14,Andreas,,Meyer,,,,,,,,project2,appointedTerm12|countryTerm8|expiryTerm3,user2
person15,Ivor,,Fleck,,,,,,,,project2,appointedTerm11|countryTerm7|expiryTerm2,user2
person16,Dimitrios,,Sampsonidis,,,,,,,,project2,appointedTerm11|countryTerm9|expiryTerm2,user2
person17,Viktor,,Veszprémi,,,,,,,,project2,appointedTerm11|countryTerm10|expiryTerm2,user2
person18,Erez,,Etzion,,,,,,,,project2,appointedTerm12|countryTerm11|expiryTerm1,user2
person19,Clara,,Troncon ,,,,,,,,project2,appointedTerm13|countryTerm12|expiryTerm2,user2
person20,Giovanni,,Passaleva,,,,,,,,project2,appointedTerm10|countryTerm12|expiryTerm1,user2
person21,Gerjan,,Bobbink,,,,,,,,project2,appointedTerm5|countryTerm13|expiryTerm1,user2
person22,Joakim,,Nystrand,,,,,,,,project2,appointedTerm9|countryTerm14|expiryTerm2,user2
person23,Karol,,Bunkowski,,,,,,,,project2,appointedTerm13|countryTerm15|expiryTerm2,user2
person24,Paula,,Bordalo,,,,,,,,project2,appointedTerm1|countryTerm16|expiryTerm2,user2
person25,Gabriel,,Stoicea,,,,,,,,project2,appointedTerm14|countryTerm17|expiryTerm3,user2
person26,Dragoslav-Laza,,Lazic,,,,,,,,project2,appointedTerm12|countryTerm18|expiryTerm2,user2
person27,Anna,,Dubnicková,,,,,,,,project2,appointedTerm2|countryTerm19|expiryTerm3,user2
person28,Silvia,,Goy,,,,,,,,project2,appointedTerm14|countryTerm20|expiryTerm3,user2
person29,Arnaud,,Ferrari,,,,,,,,project2,appointedTerm12|countryTerm21|expiryTerm2,user2
person30,Michele,,Weber,,,,,,,,project2,appointedTerm9|countryTerm22|expiryTerm2,user2
person31,Mario,,Campanelli ,,,,,,,,project2,appointedTerm8|countryTerm23|expiryTerm3,user2
person32,Helen,,Hayward,,,,,,,,project2,appointedTerm13|countryTerm23|expiryTerm2,user2
person33,Nikolai,,Zimine,,,,,,,,project2,appointedTerm9|countryTerm13|expiryTerm2,user2
person34,Bilge,,Demirkoz ,,,,,,,,project2,appointedTerm14|countryTerm13|expiryTerm3,user2
person35,Manoj,,Sharan,,,,,,,,project2,appointedTerm14|countryTerm13|expiryTerm3,user2
person36,Sridhara,,Dasu,,,,,,,,project2,appointedTerm14|countryTerm13|expiryTerm3,user2
person37,Etiennette,,Auffray,,,,,,,,project2,appointedTerm8|countryTerm3|expiryTerm3,user2
person38,Richard,,Hawkings,,,,,,,,project2,appointedTerm11|countryTerm3|expiryTerm2,user2
